Domain,Receive_Time,Serial_#,Type,Threat/Content_Type,Config_Version,Generate_Time,Source_address,Destination_address,NAT_Source_IP,NAT_Destination_IP,Rule,Source_User,Destination_User,Application,Virtual_System,Source_Zone,Destination_Zone,Inbound_Interface,Outbound_Interface,Log_Action,Time_Logged,Session_ID,Repeat_Count,Source_Port,Destination_Port,NAT_Source_Port,NAT_Destination_Port,Flags,IP_Protocol,Action,Bytes,Bytes_Sent,Bytes_Received,Packets,Start_Time,Elapsed_Time_(sec),Category,Padding,Sequence_Number,Action_Flags,Source_Country,Destination_Country,cpadding,pkts_sent,pkts_received,session_end_reason,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual_System_Name,Device_Name,action_source,Source_VM_UUID,Destination_VM_UUID,Tunnel_ID/IMSI,Monitor_Tag/IMEI,Parent_Session_ID,parent_start_time,tunnel
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.56.153,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:36,586,1,43507,40030,0,0,0x4050,udp,allow,295,172,123,2,5/31/17 0:35,0,any,0,15231461,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,65.55.223.40,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:36,580,1,43507,40026,0,0,0x4050,udp,allow,273,173,100,2,5/31/17 0:35,0,any,0,15231460,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,65.55.223.15,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:36,572,1,43507,40016,0,0,0x4050,udp,allow,961,74,887,2,5/31/17 0:35,0,any,0,15231459,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,65.55.223.13,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:36,569,1,43507,40020,0,0,0x4050,udp,allow,138,76,62,2,5/31/17 0:35,0,any,0,15231458,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.56.160,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,566,1,43507,40021,0,0,0x4050,udp,allow,136,74,62,2,5/31/17 0:35,0,any,0,15231457,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.56.140,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,565,1,43507,40027,0,0,0x4050,udp,allow,584,73,511,2,5/31/17 0:35,0,any,0,15231456,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,96.246.158.154,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,562,1,60090,53,0,0,0x4019,udp,allow,223,74,149,2,5/31/17 0:35,0,any,0,15231455,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.151,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,411,1,43507,40019,0,0,0x4050,udp,allow,243,180,63,2,5/31/17 0:35,0,any,0,15231454,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.149,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,406,1,43507,40018,0,0,0x4050,udp,allow,279,181,98,2,5/31/17 0:35,0,any,0,15231453,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,64.4.23.167,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,403,1,43507,40028,0,0,0x4050,udp,allow,236,173,63,2,5/31/17 0:35,0,any,0,15231452,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.55.130.143,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,400,1,43507,40001,0,0,0x4050,udp,allow,235,172,63,2,5/31/17 0:35,0,any,0,15231451,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:36,1606050200,TRAFFIC,end,1,5/31/17 0:36,192.168.4.55,157.56.52.22,,,rule1,,,skype-probe,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,6/1/17 0:36,396,1,43507,40001,0,0,0x4050,udp,allow,476,350,126,4,5/31/17 0:35,0,any,0,15231450,0x0,192.168.0.0-192.168.255.255,United States,0,2,2,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
